Performance Statistics   2017-01-09 12:22:00 - 2017-01-09 12:23:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0,1           0          10         0,8         300
Messages.searchFiles                                     0,0           0          10         0,6         300
Metadata.replaceExtendedMetaClasses                      1,0           1           1         0,0           1
QueryParser.getEntityName()                            192,0         192         192         0,0           1
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0           1
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0           1
QueryParser.getParamNames()                              0,0           0           0         0,0           1

Performance Statistics   2017-01-09 12:23:00 - 2017-01-09 12:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                             132,0         132         132         0,0           1
LoadClass                                                0,8           0           2         0,8           4
Messages.searchClasspath                                 0,0           0           4         0,3         328
Messages.searchFiles                                     0,0           0           0         0,0         328
Metadata.replaceExtendedMetaClasses                      2,0           2           2         0,0           1
PersistenceSecurity.applyConstraints(..)                 8,0           8           8         0,0           1
QueryParser.getEntityAlias()                             1,0           1           1         0,0           1
QueryParser.getEntityName()                              1,3           0           6         1,5          16
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          15
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          15
QueryParser.getParamNames()                              0,1           0           2         0,5          16
QueryParser.hasIsNullCondition(..)                       7,0           7           7         0,0           1
QueryParser.isCollectionSecondaryEntitySelect()          0,0           0           0         0,0           4
QueryTransformer.addEntityInGroupBy(..)                  0,0           0           0         0,0           4
QueryTransformer.addFirstSelectionSource(..)             0,0           0           0         0,0           4
QueryTransformer.addWhereAsIs(..)                        0,3           0           1         0,4           4
QueryTransformer.getResult()                             0,3           0           1         0,4           4
QueryTransformer.replaceWithSelectEntityVariable(..)         0,5           0           2         0,9           4
SearchFolders                                          138,0         138         138         0,0           1
Security.isEntityAttrReadPermitted(..)                   0,0           0           0         0,0           3
Security.isEntityOpPermitted(..)                         0,0           0           0         0,0           1
ViewRepository.init.ViewRepositoryClientImpl            14,0          14          14         0,0           1

