Performance Statistics   2017-07-19 10:11:00 - 2017-07-19 10:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0,3           0           9         1,2         130
Messages.searchFiles                                     0,1           0          14         1,2         130

Performance Statistics   2017-07-19 10:12:00 - 2017-07-19 10:13:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0,5           0           1         0,5           2
Messages.searchClasspath                                 0,1           0           3         0,4         179
Messages.searchFiles                                     0,0           0           0         0,0         179
Metadata.replaceExtendedMetaClasses                      1,5           1           2         0,5           2
QueryParser.getEntityName()                             60,5           1         236       101,3           4
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0           4
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0           4
QueryParser.getParamNames()                              0,0           0           0         0,0           4
QueryParser.isCollectionSecondaryEntitySelect()          0,0           0           0         0,0           2
QueryTransformer.addEntityInGroupBy(..)                  0,0           0           0         0,0           2
QueryTransformer.addFirstSelectionSource(..)             0,0           0           0         0,0           2
QueryTransformer.addWhereAsIs(..)                        0,5           0           1         0,5           2
QueryTransformer.getResult()                             0,5           0           1         0,5           2
QueryTransformer.replaceWithSelectEntityVariable(..)         1,0           0           2         1,0           2

